;Invoice ID;Branch;City;Costumer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
57;635-40-6220;A;Porto Alegre;Membro;Feminino;Casa e estilo de vida;441,42;4;22,07;1787,75;01/08/2023;11:28;dinheiro;1765,68;0,00;1765,68;5,3
58;817-48-8732;A;Curitiba;Membro;Feminino;Saúde e beleza;127,74;10;6,39;1283,79;09/10/2023;15:55;cartão de crédito;1277,40;0,00;1277,40;8,9
59;120-06-4233;C;Florianopolis;Membro;Masculino;Acessórios eletrônicos;366,58;9;18,33;3317,55;05/28/2023;20:36;pix;3299,22;0,00;3299,22;5,7
60;285-68-5083;C;Porto Alegre;Membro;Feminino;Casa e estilo de vida;309,05;1;15,45;324,50;06/25/2023;17:47;cartão de crédito;309,05;0,00;309,05;9,9
61;803-83-5989;C;Porto Alegre;Membro;Feminino;Casa e estilo de vida;40,61;8;2,03;326,91;01/21/2023;10:55;pix;324,88;0,00;324,88;9,4
62;347-34-2234;B;Curitiba;Normal;Masculino;Casa e estilo de vida;73,97;4;3,70;299,58;07/30/2023;13:40;cartão de crédito;295,88;0,00;295,88;5,5
63;199-75-8169;A;Curitiba;Membro;Masculino;Saúde e beleza;806,50;10;40,33;8105,33;05/30/2023;12:27;dinheiro;8065,00;0,00;8065,00;7,0
64;853-23-2453;B;Curitiba;Membro;Feminino;Esportes e viagens;18,35;1;0,92;19,27;01/03/2023;14:35;cartão de crédito;18,35;0,00;18,35;7,6
65;877-22-3308;A;Florianopolis;Normal;Masculino;Saúde e beleza;300,96;4;15,05;1218,89;01/02/2023;16:40;dinheiro;1203,84;0,00;1203,84;8,2
66;838-78-4295;C;Curitiba;Membro;Feminino;Casa e estilo de vida;470,63;4;23,53;1906,05;03/05/2023;15:43;cartão de crédito;1882,52;0,00;1882,52;7,9
67;109-28-2512;B;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;79,32;6;3,97;479,89;11/07/2023;15:01;cartão de crédito;475,92;0,00;475,92;5,0
68;232-11-3025;A;Curitiba;Normal;Feminino;Casa e estilo de vida;779,14;4;38,96;3155,52;11/20/2023;10:04;cartão de crédito;3116,56;0,00;3116,56;6,4
69;382-03-4532;A;Florianopolis;Membro;Feminino;Saúde e beleza;286,29;7;14,31;2018,34;03/28/2023;18:50;dinheiro;2004,03;0,00;2004,03;8,8
70;393-65-2792;C;Florianopolis;Membro;Feminino;Alimentos e bebidas;75,27;3;3,76;229,57;01/25/2023;12:46;cartão de crédito;225,81;0,00;225,81;9,9
71;796-12-2025;C;Curitiba;Membro;Feminino;Acessórios eletrônicos;471,51;7;23,58;3324,15;09/13/2023;16:19;cartão de crédito;3300,57;0,00;3300,57;8,3
72;510-95-6347;B;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;699,37;9;34,97;6329,30;02/15/2023;18:17;pix;6294,33;0,00;6294,33;5,9
73;841-35-6630;C;Curitiba;Membro;Masculino;Acessórios eletrônicos;843,55;2;42,18;1729,28;07/29/2023;18:21;cartão de crédito;1687,10;0,00;1687,10;7,0
74;287-21-9091;A;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;627,59;6;31,38;3796,92;03/31/2023;10:55;dinheiro;3765,54;0,00;3765,54;6,9
75;732-94-0499;C;Florianopolis;Membro;Feminino;Casa e estilo de vida;349,69;1;17,48;367,17;05/29/2023;17:04;cartão de crédito;349,69;0,00;349,69;5,6
76;263-10-3913;C;Florianopolis;Membro;Feminino;Casa e estilo de vida;671,53;6;33,58;4062,76;07/17/2023;14:20;pix;4029,18;0,00;4029,18;7,4
77;381-20-0914;A;Curitiba;Membro;Masculino;Saúde e beleza;377,61;7;18,88;2662,15;03/11/2023;15:48;pix;2643,27;0,00;2643,27;8,7
78;829-49-1914;C;Porto Alegre;Membro;Masculino;Alimentos e bebidas;849,78;7;42,49;5990,95;06/26/2023;16:24;dinheiro;5948,46;0,00;5948,46;8,2
79;756-01-7507;C;Curitiba;Membro;Feminino;Saúde e beleza;203,19;4;10,16;822,92;09/27/2023;18:56;dinheiro;812,76;0,00;812,76;6,4
80;870-72-4431;C;Porto Alegre;Normal;Masculino;Alimentos e bebidas;683,41;6;34,17;4134,63;05/24/2023;14:42;pix;4100,46;0,00;4100,46;6,7
81;847-38-7188;B;Curitiba;Normal;Masculino;Saúde e beleza;838,09;10;41,90;8422,80;05/23/2023;19:56;dinheiro;8380,90;0,00;8380,90;5,1
82;480-63-2856;C;Florianopolis;Membro;Masculino;Casa e estilo de vida;76,14;3;3,81;232,23;06/16/2023;18:37;dinheiro;228,42;0,00;228,42;9,0
83;787-56-0757;C;Florianopolis;Membro;Masculino;Casa e estilo de vida;43,74;5;2,19;220,89;01/20/2023;18:45;dinheiro;218,70;0,00;218,70;8,5
84;360-39-5055;C;Florianopolis;Normal;Masculino;Acessórios eletrônicos;170,06;5;8,50;858,80;08/17/2023;10:17;pix;850,30;0,00;850,30;8,0
85;730-50-9884;C;Porto Alegre;Normal;Masculino;Casa e estilo de vida;263,38;9;13,17;2383,59;03/03/2023;14:31;pix;2370,42;0,00;2370,42;7,1
86;362-58-8315;C;Florianopolis;Normal;Feminino;Saúde e beleza;868,83;5;43,44;4387,59;07/22/2023;10:23;cartão de crédito;4344,15;0,00;4344,15;5,5
87;633-44-8566;A;Florianopolis;Membro;Masculino;Alimentos e bebidas;462,17;5;23,11;2333,96;06/30/2023;20:35;pix;2310,85;0,00;2310,85;8,5
88;504-35-8843;A;Florianopolis;Normal;Masculino;Saúde e beleza;82,23;8;4,11;661,95;07/30/2023;16:57;dinheiro;657,84;0,00;657,84;6,4
89;318-68-5053;B;Curitiba;Membro;Feminino;Acessórios eletrônicos;536,06;9;26,80;4851,34;12/01/2023;17:55;pix;4824,54;0,00;4824,54;5,2
90;565-80-5980;C;Porto Alegre;Normal;Masculino;Esportes e viagens;829,77;8;41,49;6679,65;07/08/2023;10:25;dinheiro;6638,16;0,00;6638,16;6,4
91;225-32-0908;C;Porto Alegre;Normal;Masculino;Saúde e beleza;163,05;8;8,15;1312,55;04/26/2023;19:54;dinheiro;1304,40;0,00;1304,40;5,8
92;873-51-0671;A;Curitiba;Normal;Feminino;Acessórios eletrônicos;487,38;10;24,37;4898,17;06/03/2023;16:42;pix;4873,80;0,00;4873,80;7,0
93;152-08-9985;B;Florianopolis;Normal;Feminino;Casa e estilo de vida;978,69;1;48,93;1027,62;03/28/2023;12:09;dinheiro;978,69;0,00;978,69;7,9
94;512-91-0811;C;Curitiba;Membro;Masculino;Acessórios eletrônicos;349,97;6;17,50;2117,32;10/12/2023;20:05;dinheiro;2099,82;0,00;2099,82;8,5
95;594-34-4444;A;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;637,70;7;31,89;4495,79;01/31/2023;20:38;dinheiro;4463,90;0,00;4463,90;7,4
96;766-85-7061;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;876,34;9;43,82;7930,88;04/03/2023;10:25;cartão de crédito;7887,06;0,00;7887,06;6,1
97;871-39-9221;C;Florianopolis;Membro;Masculino;Casa e estilo de vida;418,55;6;20,93;2532,23;02/04/2023;13:11;pix;2511,30;0,00;2511,30;9,9
98;865-92-6136;A;Porto Alegre;Normal;Feminino;Acessórios eletrônicos;377,04;9;18,85;3412,21;08/09/2023;10:16;dinheiro;3393,36;0,00;3393,36;8,9
99;733-01-9107;B;Curitiba;Membro;Feminino;Alimentos e bebidas;848,03;7;42,40;5978,61;06/21/2023;18:14;pix;5936,21;0,00;5936,21;9,6
100;163-56-7055;C;Curitiba;Normal;Feminino;Saúde e beleza;634,53;6;31,73;3838,91;11/04/2023;19:20;pix;3807,18;0,00;3807,18;7,1
101;189-98-2939;C;Porto Alegre;Membro;Feminino;Saúde e beleza;406,34;4;20,32;1645,68;03/05/2023;13:22;pix;1625,36;0,00;1625,36;9,1
102;551-21-3069;C;Porto Alegre;Normal;Masculino;Saúde e beleza;127,40;8;6,37;1025,57;01/08/2023;11:27;cartão de crédito;1019,20;0,00;1019,20;8,8
103;212-62-1842;A;Curitiba;Membro;Feminino;Saúde e beleza;557,81;3;27,89;1701,32;08/28/2023;16:44;cartão de crédito;1673,43;0,00;1673,43;6,1
104;716-39-1409;B;Florianopolis;Membro;Feminino;Casa e estilo de vida;859,93;7;43,00;6062,51;05/30/2023;18:19;cartão de crédito;6019,51;0,00;6019,51;5,5
105;704-48-3927;A;Florianopolis;Normal;Masculino;Casa e estilo de vida;661,69;10;33,08;6649,98;09/30/2023;14:50;dinheiro;6616,90;0,00;6616,90;7,0
106;628-34-3388;C;Porto Alegre;Normal;Masculino;Saúde e beleza;989,16;10;49,46;9941,06;05/14/2023;20:54;pix;9891,60;0,00;9891,60;6,9
107;630-74-5166;A;Florianopolis;Membro;Masculino;Acessórios eletrônicos;679,76;2;33,99;1393,51;03/05/2023;20:19;pix;1359,52;0,00;1359,52;8,0
108;588-01-7461;C;Curitiba;Membro;Feminino;Casa e estilo de vida;991,75;10;49,59;9967,09;01/30/2023;10:43;dinheiro;9917,50;0,00;9917,50;9,1
109;861-77-0145;C;Curitiba;Membro;Feminino;Acessórios eletrônicos;861,54;4;43,08;3489,24;04/11/2023;14:30;dinheiro;3446,16;0,00;3446,16;6,4
110;479-26-8945;B;Porto Alegre;Normal;Feminino;Acessórios eletrônicos;700,73;3;35,04;2137,23;02/15/2023;11:32;pix;2102,19;0,00;2102,19;9,9
111;210-67-5886;C;Curitiba;Membro;Masculino;Casa e estilo de vida;536,53;6;26,83;3246,01;05/02/2023;10:41;cartão de crédito;3219,18;0,00;3219,18;10,0
112;227-78-1148;B;Florianopolis;Membro;Masculino;Alimentos e bebidas;762,55;10;38,13;7663,63;02/11/2023;12:44;cartão de crédito;7625,50;0,00;7625,50;5,6
113;645-44-1170;A;Curitiba;Membro;Feminino;Acessórios eletrônicos;355,78;9;17,79;3219,81;01/29/2023;20:07;pix;3202,02;0,00;3202,02;6,4
114;237-01-6122;C;Curitiba;Normal;Feminino;Esportes e viagens;728,09;6;36,40;4404,94;03/11/2023;20:31;pix;4368,54;0,00;4368,54;6,7
115;225-98-1496;C;Curitiba;Normal;Masculino;Saúde e beleza;536,98;5;26,85;2711,75;03/29/2023;13:01;pix;2684,90;0,00;2684,90;5,8
116;291-32-1427;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;573,39;6;28,67;3469,01;07/10/2023;12:29;pix;3440,34;0,00;3440,34;5,8
117;659-65-8956;B;Porto Alegre;Normal;Feminino;Esportes e viagens;950,33;3;47,52;2898,51;05/06/2023;15:26;dinheiro;2850,99;0,00;2850,99;9,8
118;642-32-2990;A;Florianopolis;Membro;Masculino;Acessórios eletrônicos;435,43;2;21,77;892,63;02/19/2023;20:48;dinheiro;870,86;0,00;870,86;5,8
119;378-24-2715;B;Porto Alegre;Membro;Masculino;Casa e estilo de vida;532,69;2;26,63;1092,01;11/16/2023;20:38;cartão de crédito;1065,38;0,00;1065,38;8,5
120;638-60-7125;A;Curitiba;Normal;Masculino;Saúde e beleza;961,72;2;48,09;1971,53;06/26/2023;17:03;pix;1923,44;0,00;1923,44;5,4
121;659-36-1684;C;Florianopolis;Membro;Masculino;Esportes e viagens;832,17;10;41,61;8363,31;01/06/2023;12:02;cartão de crédito;8321,70;0,00;8321,70;6,4
122;219-22-9386;B;Curitiba;Membro;Masculino;Esportes e viagens;841,31;5;42,07;4248,62;03/31/2023;17:26;pix;4206,55;0,00;4206,55;9,6
123;336-78-2147;C;Florianopolis;Normal;Masculino;Acessórios eletrônicos;757,05;6;37,85;4580,15;08/17/2023;19:52;dinheiro;4542,30;0,00;4542,30;9,7
124;268-27-6179;B;Porto Alegre;Normal;Masculino;Saúde e beleza;516,93;5;25,85;2610,50;08/08/2023;14:57;dinheiro;2584,65;0,00;2584,65;5,5
125;668-90-8900;A;Florianopolis;Normal;Feminino;Saúde e beleza;477,03;2;23,85;977,91;01/20/2023;18:44;pix;954,06;0,00;954,06;9,1
126;870-54-3162;A;Curitiba;Normal;Feminino;Alimentos e bebidas;695,51;7;34,78;4903,35;04/05/2023;13:26;pix;4868,57;0,00;4868,57;8,2
127;189-08-9157;C;Porto Alegre;Membro;Masculino;Esportes e viagens;978,89;10;48,94;9837,84;09/15/2023;16:17;cartão de crédito;9788,90;0,00;9788,90;8,8
128;663-86-9076;C;Florianopolis;Membro;Feminino;Acessórios eletrônicos;799,01;4;39,95;3235,99;05/12/2023;15:57;dinheiro;3196,04;0,00;3196,04;9,5
129;549-84-7482;B;Florianopolis;Membro;Masculino;Esportes e viagens;798,37;9;39,92;7225,25;10/30/2023;11:15;pix;7185,33;0,00;7185,33;9,0
130;191-10-6171;B;Florianopolis;Normal;Masculino;Casa e estilo de vida;557,87;1;27,89;585,76;04/29/2023;13:18;pix;557,87;0,00;557,87;5,5
131;802-70-5316;A;Porto Alegre;Normal;Feminino;Saúde e beleza;723,21;2;36,16;1482,58;10/13/2023;20:34;pix;1446,42;0,00;1446,42;6,9
132;695-51-0018;B;Florianopolis;Normal;Feminino;Acessórios eletrônicos;950,25;9;47,51;8599,76;04/03/2023;18:36;dinheiro;8552,25;0,00;8552,25;8,2
133;590-83-4591;B;Curitiba;Normal;Feminino;Casa e estilo de vida;543,33;9;27,17;4917,14;05/15/2023;14:40;pix;4889,97;0,00;4889,97;8,7
134;483-71-1164;C;Florianopolis;Normal;Masculino;Acessórios eletrônicos;366,36;6;18,32;2216,48;10/18/2023;16:43;cartão de crédito;2198,16;0,00;2198,16;6,1
135;597-78-7908;C;Porto Alegre;Normal;Feminino;Casa e estilo de vida;458,20;9;22,91;4146,71;08/19/2023;19:39;cartão de crédito;4123,80;0,00;4123,80;5,3
136;700-81-1757;A;Porto Alegre;Membro;Masculino;Casa e estilo de vida;35,92;1;1,80;37,72;08/22/2023;20:59;pix;35,92;0,00;35,92;5,3
137;354-39-5160;A;Curitiba;Normal;Feminino;Saúde e beleza;945,26;2;47,26;1937,78;11/30/2023;15:39;pix;1890,52;0,00;1890,52;5,6
138;241-72-9525;B;Florianopolis;Membro;Masculino;Acessórios eletrônicos;267,23;8;13,36;2151,20;02/28/2023;12:21;pix;2137,84;0,00;2137,84;9,9
139;575-30-8091;A;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;723,76;5;36,19;3654,99;05/07/2023;19:25;cartão de crédito;3618,80;0,00;3618,80;9,4
140;731-81-9469;C;Porto Alegre;Normal;Feminino;Casa e estilo de vida;370,27;8;18,51;2980,67;06/03/2023;13:00;pix;2962,16;0,00;2962,16;9,7
141;280-17-4359;C;Curitiba;Normal;Feminino;Casa e estilo de vida;224,31;1;11,22;235,53;03/31/2023;13:48;pix;224,31;0,00;224,31;9,2
142;338-65-2210;C;Porto Alegre;Membro;Masculino;Saúde e beleza;621,14;5;31,06;3136,76;08/15/2023;19:57;cartão de crédito;3105,70;0,00;3105,70;7,4
143;488-25-4221;C;Curitiba;Normal;Feminino;Saúde e beleza;333,40;7;16,67;2350,47;09/09/2023;10:36;dinheiro;2333,80;0,00;2333,80;5,2
144;239-10-7476;A;Curitiba;Normal;Masculino;Alimentos e bebidas;944,25;1;47,21;991,46;11/24/2023;16:37;pix;944,25;0,00;944,25;9,2
145;458-41-1477;C;Florianopolis;Normal;Feminino;Acessórios eletrônicos;919,93;6;46,00;5565,58;03/11/2023;17:11;cartão de crédito;5519,58;0,00;5519,58;9,0
146;685-64-1609;A;Florianopolis;Membro;Feminino;Saúde e beleza;380,76;2;19,04;780,56;07/23/2023;12:28;dinheiro;761,52;0,00;761,52;5,7
147;568-90-5112;C;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;697,49;7;34,87;4917,30;05/02/2023;12:46;dinheiro;4882,43;0,00;4882,43;5,2
148;262-47-2794;B;Porto Alegre;Normal;Masculino;Casa e estilo de vida;962,41;5;48,12;4860,17;09/22/2023;15:07;cartão de crédito;4812,05;0,00;4812,05;5,7
149;238-49-0436;A;Florianopolis;Membro;Masculino;Acessórios eletrônicos;601,56;9;30,08;5444,12;10/17/2023;13:48;cartão de crédito;5414,04;0,00;5414,04;6,3
150;608-96-3517;B;Florianopolis;Normal;Masculino;Acessórios eletrônicos;757,80;10;37,89;7615,89;12/09/2023;19:20;cartão de crédito;7578,00;0,00;7578,00;10,0
151;584-86-7256;C;Curitiba;Normal;Feminino;Acessórios eletrônicos;768,12;3;38,41;2342,77;09/19/2023;16:07;dinheiro;2304,36;0,00;2304,36;8,9
152;746-94-0204;A;Curitiba;Membro;Masculino;Acessórios eletrônicos;855,86;4;42,79;3466,23;09/09/2023;11:56;pix;3423,44;0,00;3423,44;7,5
153;214-17-6927;C;Porto Alegre;Normal;Masculino;Esportes e viagens;512,60;6;25,63;3101,23;07/12/2023;18:23;cartão de crédito;3075,60;0,00;3075,60;5,5
154;400-89-4171;C;Porto Alegre;Membro;Feminino;Casa e estilo de vida;868,67;5;43,43;4386,78;04/07/2023;13:05;cartão de crédito;4343,35;0,00;4343,35;10,0
155;782-95-9291;A;Florianopolis;Normal;Feminino;Casa e estilo de vida;264,09;9;13,20;2390,01;05/02/2023;15:55;cartão de crédito;2376,81;0,00;2376,81;8,0
156;279-74-2924;B;Curitiba;Normal;Feminino;Casa e estilo de vida;79,17;4;3,96;320,64;11/22/2023;19:40;cartão de crédito;316,68;0,00;316,68;5,9
157;307-85-2293;B;Curitiba;Normal;Masculino;Acessórios eletrônicos;885,82;1;44,29;930,11;09/05/2023;13:58;pix;885,82;0,00;885,82;6,1
158;743-04-1105;B;Porto Alegre;Normal;Feminino;Saúde e beleza;484,27;6;24,21;2929,83;02/07/2023;14:43;dinheiro;2905,62;0,00;2905,62;6,1
159;423-57-2993;B;Florianopolis;Membro;Feminino;Esportes e viagens;333,19;9;16,66;3015,37;04/29/2023;19:18;cartão de crédito;2998,71;0,00;2998,71;6,4
